순번_정류장ID,1-2800269,2-2804581,3-2804582,4-2800267,5-2804034,6-2804035,7-2804037,8-2804039,9-2804041,10-2804589,11-2804043,12-2804591,13-2804762,14-2806393,15-2806336,16-2803920,17-2804766,18-2806338,19-2803922,20-2804771,21-2807393,22-2803924,23-2807390,24-2800260,25-2800275,26-2804713,27-2803598,28-2803600,29-2800273,30-2803601,31-2804331,32-2803581,33-2800271,34-2805489,35-2807150,36-2804581,37-2804582,38-2800267,39-2804032
11-2804043,,,,,,,,,,,0,1.062271,1.4294360000000002,1.68248,1.935457,2.191073,2.427652,2.73642,3.043702,3.297881,3.6686349999999996,3.948258,4.216033,4.411894,4.648571,4.9707669999999995,5.153556,5.61522,5.153938,4.943211,4.771503,4.5138370000000005,4.036388,3.720447,3.3466769999999997,3.32051,3.3834589999999998,3.018374,2.776996
12-2804591,,,,,,,,,,,,0,0.369166,0.622209,1.193186,1.4488020000000001,1.6853810000000002,1.99415,2.301431,2.5556099999999997,2.926364,3.205987,3.473763,3.6696230000000005,3.906301,4.228496,4.4112860000000005,4.872949,4.411667,4.200941,4.029232,3.7715660000000004,3.294118,3.7552830000000004,4.129053,4.38178,4.445729,4.080645,3.839267
13-2804762,,,,,,,,,,,,,0,0.25304299999999996,0.8240209999999999,1.079636,1.316215,1.624984,1.932266,2.186444,2.557199,2.836821,3.104597,3.3004569999999998,3.5371349999999997,3.8593300000000004,4.04212,4.503783,4.042501000000001,3.831775,3.6600660000000005,3.4024,2.924952,3.386117,3.7598870000000004,4.08815,4.385105,4.44781,4.206432
14-2806393,,,,,,,,,,,,,,0,0.5729770000000001,0.828593,1.065172,1.37394,1.6812220000000002,1.935401,2.306155,2.585778,2.853554,3.049414,3.286092,3.6082870000000002,3.7910760000000003,4.25274,3.791458,3.580732,3.4090230000000004,3.151357,2.673909,3.1350740000000004,3.5088440000000003,3.837107,4.134062,4.499147,4.078525
15-2806336,,,,,,,,,,,,,,,0,0.255616,0.492195,0.800963,1.1082450000000001,1.362424,1.7331779999999999,2.0198009999999997,2.287576,2.483437,2.720114,3.04231,3.225099,3.713401,3.802318,3.591591,3.419883,3.1622169999999996,2.684768,3.1459330000000003,3.519704,3.8479660000000004,4.144922,4.510006,4.089384
16-2803920,,,,,,,,,,,,,,,,0,0.23657899999999998,0.5453479999999999,0.8526290000000001,1.106808,1.477562,1.764185,2.031961,2.227821,2.464499,2.786694,2.969484,3.457785,3.9190669999999996,3.847207,3.675499,3.4178330000000003,2.940384,3.4015489999999997,3.775319,4.103582,4.400538,4.7656220000000005,4.345
17-2804766,,,,,,,,,,,,,,,,,0,0.308769,0.616051,0.8702290000000001,1.240984,1.527606,1.795382,1.9912419999999997,2.22792,2.5501150000000004,2.732905,3.221206,3.6824879999999998,3.893215,3.9120769999999996,3.654411,3.176963,3.638128,4.011898,4.340161,4.637116000000001,5.002201,4.5815790000000005
18-2806338,,,,,,,,,,,,,,,,,,0,0.307282,0.5614600000000001,0.932215,1.2188379999999999,1.486613,1.6824740000000002,1.9191509999999998,2.241346,2.424136,2.9124380000000003,3.3737199999999996,3.584446,3.756154,3.9631800000000004,3.485731,3.9468959999999997,4.320667,4.648929,4.945885,5.310969,4.890347
19-2803922,,,,,,,,,,,,,,,,,,,0,0.254179,0.624933,0.9115559999999999,1.179332,1.375192,1.611869,1.9340650000000001,2.116854,2.605156,3.066438,3.277164,3.4488730000000003,3.706539,3.7930129999999997,4.254178,4.627948,4.956211,5.2531669999999995,5.618251,5.197629
20-2804771,,,,,,,,,,,,,,,,,,,,0,0.370755,0.657377,0.9251530000000001,1.1210129999999998,1.357691,1.679886,1.8626759999999998,2.350977,2.812259,3.022986,3.1946939999999997,3.4523599999999997,3.936809,4.436673000000001,4.810443,5.138706,5.435661,5.800746,5.3801239999999995
21-2807393,,,,,,,,,,,,,,,,,,,,,0,0.286623,0.554398,0.750259,0.986936,1.309132,1.4919209999999998,1.980223,2.441505,2.652231,2.8239389999999998,3.0816049999999997,3.5660540000000003,4.065919,4.4396889999999996,4.767951999999999,5.064907,5.429991,5.00937
22-2803924,,,,,,,,,,,,,,,,,,,,,,0,0.267776,0.463636,0.700314,1.0225090000000001,1.205299,1.6936,2.154882,2.365609,2.537317,2.794983,3.2794309999999998,3.779296,4.153066,4.481329,4.778283999999999,5.143369,4.722747
23-2807390,,,,,,,,,,,,,,,,,,,,,,,0,0.19585999999999998,0.43253800000000003,0.754733,0.937523,1.425825,1.8871060000000002,2.097833,2.269541,2.5272069999999998,3.0116560000000003,3.5115199999999995,3.8852900000000004,4.213553,4.510509,4.875593,4.454971
24-2800260,,,,,,,,,,,,,,,,,,,,,,,,0,0.23667800000000003,0.558873,0.741663,1.2299639999999998,1.6912459999999998,1.901973,2.073681,2.331347,2.8157959999999997,3.31566,3.68943,4.017693,4.314648,4.679733000000001,4.259111
25-2800275,,,,,,,,,,,,,,,,,,,,,,,,,0,0.322195,0.504985,0.993287,1.454569,1.665295,1.837003,2.0946689999999997,2.5791180000000002,3.078982,3.452752,3.781015,4.077971,4.443055,4.022433
26-2804713,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.18279,0.671092,1.1323729999999999,1.3431,1.514808,1.772474,2.256923,2.756787,3.130557,3.45882,3.755776,4.1208599999999995,3.7002379999999997
27-2803598,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.48830200000000007,0.949584,1.16031,1.332018,1.589684,2.0741330000000002,2.573998,2.947768,3.276031,3.572986,3.9380699999999997,3.5174489999999996
28-2803600,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.46128199999999997,0.672009,0.843717,1.101383,1.585831,2.085696,2.459466,2.787729,3.084684,3.4497690000000003,3.029147
29-2800273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.210727,0.38243499999999997,0.640101,1.124549,1.624414,1.998184,2.326447,2.623402,2.988487,2.5678650000000003
30-2803601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.171709,0.429375,0.9138229999999999,1.4136879999999998,1.7874580000000002,2.1157209999999997,2.412676,2.777761,2.357139
31-2804331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.257666,0.742115,1.2419790000000002,1.6157489999999999,1.9440119999999999,2.240968,2.606052,2.1854299999999998
32-2803581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.48444899999999996,0.9843129999999999,1.358083,1.686346,1.9833020000000001,2.348386,1.927764
33-2800271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.506865,0.8806350000000001,1.208898,1.505853,1.8709380000000002,1.450316
34-2805489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.37377,0.702033,0.9989889999999999,1.3640729999999999,0.943451
35-2807150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.328263,0.625218,0.990303,0.569681
36-2804581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.297955,0.66304,0.543514
37-2804582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.365085,0.840469
38-2800267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.636447
39-2804032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
