순번_정류장ID,51-2803704,52-2804633,53-2803707,54-2803709,55-2806218,56-2803710,57-2803712,58-2803713,59-2803717,60-2803722,61-2803724,62-2803725,63-2803753,64-2804637,65-2803726,66-2803727,67-2803729,68-2803731,69-2803733,70-2804300,71-2803738,72-2807372,73-2803736,74-2803739,75-2803700,76-2803699,77-2803697,78-2803695,79-2803693,80-2804775,81-2803741,82-2803742,83-2803743,84-2803744,85-2804666,86-2803745,87-2803746,88-2803747,89-2803748,90-2804688,91-2807370,92-2803604,93-2800266,94-2807368,95-2804602,96-2803580,97-2800263,98-2800267,99-2804032
72-2807372,,,,,,,,,,,,,,,,,,,,,,0,0.288209,0.534492,0.707421,1.026934,1.3603040000000002,1.813302,2.12641,2.357138,3.146727,4.1639870000000005,4.43366,5.0060459999999996,5.315264,5.973861,6.444797,7.183019,7.591044999999999,8.017171000000001,8.149284,8.464192,9.133365,9.431041,9.658291,9.811795,10.032793,10.282888999999999,10.919336
73-2803736,,,,,,,,,,,,,,,,,,,,,,,0,0.246284,0.419212,0.738725,1.072096,1.525093,1.8382020000000001,2.0689290000000002,2.858518,3.875778,4.145451,4.717837,5.027055000000001,5.685653,6.156588,6.8948100000000005,7.302836,7.728961999999999,7.861076,8.175983,8.845157,9.142832,9.370082,9.523586,9.744585,9.994681,10.631127000000001
74-2803739,,,,,,,,,,,,,,,,,,,,,,,,0,0.172929,0.492442,0.8258120000000001,1.278809,1.591918,1.822646,2.612234,3.629494,3.899167,4.471553,4.780771,5.439369,5.910305,6.6485270000000005,7.056553,7.482678999999999,7.614792,7.9297,8.598873,8.896549,9.123797999999999,9.277303,9.498301,9.748397,10.384844000000001
75-2803700,,,,,,,,,,,,,,,,,,,,,,,,,0,0.319513,0.652883,1.105881,1.41899,1.6497169999999999,2.444306,3.4615660000000004,3.731239,4.303625,4.612843,5.271441,5.742376,6.4805980000000005,6.888624,7.31475,7.446864,7.761771,8.430945,8.72862,8.955869999999999,9.109374,9.330373,9.580469,10.216915
76-2803699,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.33337,0.7863680000000001,1.099477,1.3302040000000002,2.124793,3.1420529999999998,3.4117260000000003,3.984112,4.29333,4.951928,5.4228629999999995,6.161085,6.569111,6.9952369999999995,7.127350999999999,7.442258,8.111432,8.409107,8.636357,8.789861,9.010860000000001,9.260956,9.897402
77-2803697,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.45299799999999996,0.766107,0.996834,1.791423,2.8086830000000003,3.0783560000000003,3.6507419999999997,3.9599599999999997,4.618558,5.089493,5.827715,6.235741,6.661867,6.793981,7.108888,7.778061999999999,8.075737,8.302987,8.456491,8.677489999999999,8.927586,9.564032000000001
78-2803695,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.313109,0.543837,1.338425,2.355685,2.6253580000000003,3.1977439999999997,3.506962,4.16556,4.636495,5.374718,5.782744,6.208869,6.3409830000000005,6.6558910000000004,7.325064,7.622739,7.849989,8.003494,8.224492,8.474588,9.111034
79-2803693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.23072800000000002,1.025316,2.042576,2.312249,2.884635,3.193854,3.8524510000000003,4.323387,5.061609,5.469635,5.895761,6.027874,6.342782,7.011955,7.3096309999999995,7.53688,7.690385000000001,7.911383,8.161479,8.797926
80-2804775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.794589,1.8118490000000003,2.081522,2.6539080000000004,2.963126,3.621724,4.092658999999999,4.830881,5.238907,5.665033,5.797147,6.112054,6.781228,7.0789029999999995,7.306153,7.459657000000001,7.680656,7.930752,8.567198
81-2803741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.01726,1.2869329999999999,1.859319,2.1685369999999997,2.8271349999999997,3.2980699999999996,4.036293,4.444318,4.870444,5.0025580000000005,5.3174660000000005,5.986639,6.284314,6.511564,6.665067999999999,6.886067,7.136163000000001,7.772608999999999
82-2803742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.269673,0.842059,1.151277,1.809875,2.28081,3.0190330000000003,3.427059,3.8531839999999997,3.9852980000000002,4.300206,4.969379,5.267054,5.4943040000000005,5.647809,5.868807,6.1189029999999995,6.755349000000001
83-2803743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.572386,0.881604,1.540202,2.0111369999999997,2.74936,3.1573860000000002,3.583511,3.715625,4.030533,4.699706,4.997381,5.224631,5.3781360000000005,5.599133999999999,5.84923,6.485676
84-2803744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.309218,0.967816,1.4387510000000001,2.176974,2.585,3.011126,3.143239,3.4581470000000003,4.12732,4.424995,4.652245,4.80575,5.026748,5.2768440000000005,5.91329
85-2804666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.6585979999999999,1.129533,1.8677560000000002,2.275782,2.701907,2.834021,3.148929,3.8181019999999997,4.115777,4.343026999999999,4.496532,4.71753,4.967626,5.604072
86-2803745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.47093500000000005,1.209158,1.617184,2.04331,2.175423,2.4903310000000003,3.159504,3.457179,3.684429,3.8379339999999997,4.0589319999999995,4.309028,4.945475
87-2803746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.738223,1.146248,1.572374,1.704488,2.019396,2.6885689999999998,2.9862439999999997,3.213494,3.366999,3.587997,3.838093,4.474539
88-2803747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.408026,0.834152,0.9662649999999999,1.281173,1.950346,2.248022,2.4752709999999998,2.628776,2.849774,3.09987,3.7363169999999997
89-2803748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.426126,0.55824,0.8731469999999999,1.5423209999999998,1.839996,2.067246,2.22075,2.441749,2.6918450000000003,3.3282910000000006
90-2804688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.132114,0.447021,1.116195,1.4138700000000002,1.6411200000000001,1.7946240000000002,2.015623,2.265719,2.902165
91-2807370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.31490799999999997,0.986081,1.283757,1.5110059999999998,1.664511,1.885509,2.135605,2.772052
92-2803604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.6711729999999999,0.968849,1.1960979999999999,1.349603,1.570601,1.820697,2.457144
93-2800266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.297676,0.524925,0.67843,0.8994280000000001,1.149524,1.785971
94-2807368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.22725,0.380754,0.601753,0.851849,1.4882950000000001
95-2804602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.153505,0.37450300000000003,0.624599,1.261046
96-2803580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.22099899999999997,0.47109399999999996,1.1075409999999999
97-2800263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.250096,0.8865430000000001
98-2800267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.636447
99-2804032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
