순번_정류장ID,71-2802788,72-2802805,73-2802836,74-2802837,75-2802838,76-2802829,77-2802814,78-2802801,79-2802791,80-2802784,81-2802771,82-2802758,83-2802714,84-2802696,85-2802038,86-2802672,87-2802642,88-2802674,89-2802665,90-2802662,91-2802659,92-2802650,93-2800819,94-2800815,95-2800810,96-2800806,97-2800793,98-2800785,99-2800771,100-2800764,101-2800756,102-2800736,103-2800710,104-2800705,105-2800703,106-2800699,107-2800712,108-2800718,109-2800724,110-2800729,111-2800743,112-2800755,113-2800308,114-2800735,115-2800717,116-2805752,117-2805753,118-2805754,119-2807050,120-2806935,121-2806814,122-2806816,123-2807638,124-2806819,125-2806825,126-2806828,127-2806827,128-2806826,129-2806820,130-2806818,131-2806817,132-2806815,133-2805755,134-2805756,135-2800317,136-2800369
71-2802788,0,0.270929,0.740264,1.3252760000000001,1.639214,1.965352,2.3259380000000003,2.633622,3.2109970000000003,3.4752120000000004,3.897465,4.141719,4.220949,4.027253,4.254414,4.427741999999999,4.039838,4.088584,4.303198,4.291169,4.282648,4.600657,4.836365,5.091297,4.950448000000001,4.662792,4.91594,5.109843,5.456496,5.638679,5.786119,6.082655,6.4419949999999995,6.520708,6.487239,6.627975999999999,6.071242,5.973335,5.800355000000001,5.743588,5.429296,5.7301720000000005,5.279357,5.680985,5.932998,6.593414999999999,7.083664999999999,7.241339999999999,6.9627419999999995,6.64958,7.329283,7.97204,8.400899,9.146165,10.476988,11.048228,10.819283,10.466145,9.12853,8.435065,7.910472,7.320202,6.213548,5.816349,4.993348999999999,4.661242
72-2802805,,0,0.469336,1.054348,1.3682860000000001,1.694423,2.055009,2.362694,2.940069,3.204283,3.6265370000000003,3.8707910000000005,4.022537000000001,4.300180999999999,4.527342,4.70067,4.312767,4.361512,4.576126,4.564098,4.555576,4.873585,5.109293,5.364225,5.223376999999999,4.93572,5.188868,5.382772,5.729424,5.911608,6.0590470000000005,6.355583,6.714923,6.7936369999999995,6.760167999999999,6.899903999999999,6.34117,6.243264,6.070283,6.014517,5.701224,6.0011,5.550286,5.950913,6.202927,6.865344,7.3545940000000005,7.513267999999999,7.2346699999999995,6.918508,7.599211,8.240967999999999,8.670827000000001,9.417093,10.745916000000001,11.318156,11.089212,10.736073,9.399458000000001,8.705993,8.1824,7.59013,6.483477,6.086277,5.264277,4.93117
73-2802836,,,0,0.585012,0.89895,1.225088,1.585674,1.893358,2.470733,2.734948,3.1572009999999997,3.4024550000000002,3.5542019999999996,3.9094839999999995,4.411666,4.826994,4.5330900000000005,4.581836,4.79545,4.784422,4.7749,5.092909,5.3286169999999995,5.583549,5.4427,5.155044,5.408192,5.602094999999999,5.9497480000000005,6.131931,6.279371,6.5749070000000005,6.935247,7.013961,6.979492,7.368239999999999,6.811506,6.714599000000001,6.538619000000001,6.483852,6.16956,6.471435,6.0186209999999996,6.420249,6.671262,7.3346789999999995,7.823929,7.981603999999999,7.703005999999999,7.388844000000001,8.068547,8.710303999999999,9.140163000000001,9.886429,11.215252,11.788492,11.558547,11.206408999999999,9.867794,9.174329,8.650736,8.059466,6.952812,6.555611999999999,5.733613,5.4015059999999995
74-2802837,,,,0,0.313938,0.640076,1.0006620000000002,1.308346,1.885721,2.149936,2.572189,2.817443,2.96919,3.324472,3.826654,4.241982,3.947079,3.995825,4.210438,4.19841,4.189888,4.507897,4.7436050000000005,4.998537000000001,4.857689,4.5700330000000005,4.823180000000001,5.017084,5.363736,5.54592,5.693359,5.989895,6.349235,6.427949,6.394480000000001,6.798749000000001,6.465482,6.458389,6.6313699999999995,6.864828999999999,6.7545720000000005,7.056447,6.604633,7.005261,7.258274,7.920691000000001,8.410941000000001,8.568616,8.289017999999999,7.973855,8.653559,9.296315,9.727175,10.472441,11.802264,12.373503999999999,12.143559,11.791421000000001,10.453805000000001,9.759341000000001,9.235747,8.644478,7.5378240000000005,7.140624000000001,6.318625,5.986518
75-2802838,,,,,0,0.326138,0.686724,0.994408,1.571783,1.835998,2.258251,2.5025049999999998,2.655252,3.010534,3.5137160000000005,3.9280440000000003,3.6341410000000005,3.6828870000000005,3.8965,3.885472,3.87695,4.194959,4.429667,4.685599,4.543751,4.256094,4.510242,4.704146,5.049798,5.232982,5.380421,5.676957,6.036297,6.115011,6.081542,6.484811,6.151544,6.144451,6.318432,6.551891,6.598599,7.045615,6.918571000000001,7.319199,7.570212,8.233628999999999,8.723879,8.881554,8.602955999999999,8.287794,8.967497,9.610254,10.039113,10.784379,12.114202,12.686442,12.456497,12.104359,10.767744,10.072279,9.548686,8.958416,7.851762,7.454563,6.632563,6.299456
76-2802829,,,,,,0,0.363586,0.671271,1.248646,1.512861,1.935114,2.179368,2.646114,3.0013970000000003,3.503579,3.919907,3.72819,3.776936,3.9905489999999997,3.9785209999999998,3.9699989999999996,4.289008,4.523716,4.7786480000000005,4.6378,4.350144,4.6032910000000005,4.798195,5.144847,5.3260309999999995,5.47347,5.7700059999999995,6.129346,6.20806,6.174591,6.578860000000001,6.245593,6.2395,6.412481,6.6459399999999995,6.693648,7.139664,7.137709,7.538336,7.79035,8.451767,8.943017,9.100692,8.822094,8.505931,9.185634,9.829391000000001,10.25925,11.004516,12.33434,12.906578999999999,12.676635000000001,12.324496,10.987881,10.292416000000001,9.769822999999999,9.177553,8.0709,7.6737,6.8507,6.518593
77-2802814,,,,,,,0,0.307685,0.8880600000000001,1.152275,1.5745280000000001,1.818782,2.284528,2.639811,3.141993,3.557321,3.946225,4.089163,4.303776999999999,4.340107,4.331585,4.6495940000000004,4.885301999999999,4.818766,4.999386,4.711729,4.9648769999999995,5.158780999999999,5.505433,5.6876169999999995,5.835056,6.1315919999999995,6.490932,6.5696460000000005,6.5361769999999995,6.940446000000001,6.6071789999999995,6.600086,6.773067,7.006525999999999,7.0532330000000005,7.50125,7.499295,7.899922,8.150936,8.813353,9.303603,9.461278,9.182678999999998,8.868517,9.54722,10.189977,10.619836,11.366102,12.694925999999999,13.267164999999999,13.037221,12.686082,11.347467,10.653002,10.129408999999999,9.538139,8.431486,8.035286,7.212286,6.880178999999999
78-2802801,,,,,,,,0,0.580375,0.84459,1.267843,1.512097,1.977844,2.333126,2.8363080000000003,3.250636,3.64054,3.7834779999999997,3.9980919999999998,4.224208999999999,4.400542,4.718551000000001,4.769014,4.513082,4.89393,4.780686,5.034834,5.227737,5.57439,5.756573,5.84626,5.988549,6.349889,6.426602,6.605134,7.009402000000001,6.676136,6.669042999999999,6.842022999999999,7.075482000000001,7.123189999999999,7.570207000000001,7.568252,7.968878999999999,8.220892,8.883308999999999,9.372558999999999,9.531234,9.252636,8.937474,9.617177,10.258934,10.689793,11.435058999999999,12.764882,13.337122,13.107177,12.755039,11.417424,10.722959,10.199366,9.608096000000002,8.501443,8.104242999999999,7.281242999999999,6.950136
79-2802791,,,,,,,,,0,0.26721500000000004,0.6894680000000001,0.9337219999999999,1.4694690000000001,1.8247509999999998,2.3279330000000003,2.743261,3.131165,3.2741029999999998,3.488717,3.7168339999999995,3.893167,4.212176,4.258639,4.004707,4.385555,4.673211,5.031459,5.224362999999999,5.4180150000000005,5.456199,5.336885,5.481174,5.839514,5.9192279999999995,6.355759,6.760028,6.826239,6.819146000000001,6.992126,7.225585000000001,7.273292999999999,7.719310000000001,7.717353999999999,8.117982000000001,8.369995,9.033412,9.523662,9.680337,9.401739,9.087577,9.76628,10.410036999999999,10.838896,11.584162,12.914985,13.487225,13.256279999999999,12.905142,11.567525999999999,10.873062,10.348467999999999,9.757199,8.651545,8.254344999999999,7.4313460000000005,7.099239
80-2802784,,,,,,,,,,0,0.422254,0.666507,1.2022540000000002,1.557536,2.059718,2.4760470000000003,2.864951,3.007889,3.222502,3.449619,3.6269519999999997,3.944961,3.9924239999999998,3.737492,4.117341000000001,4.404997,4.763244,4.957148,5.1508,5.190983999999999,5.07067,5.213959,5.573299,5.652013,6.088544000000001,6.492813,6.675547,6.6684529999999995,6.841434,7.074892999999999,7.536508,7.982524000000001,7.980569,8.380197,8.63321,9.293627,9.785877000000001,9.941552,9.664954,9.347791,10.030495,10.671251,11.102111,11.845377000000001,13.1762,13.748439999999999,13.519495000000001,13.168357,11.828741,11.134277,10.610683,10.019414,8.914760000000001,8.517560000000001,7.693561,7.362454
81-2802771,,,,,,,,,,,0,0.244254,0.7830010000000001,1.138283,1.640465,2.055793,2.444697,2.5876349999999997,2.802249,3.029366,3.206699,3.5247080000000004,3.572171,3.317239,3.698087,3.984743,4.343991,4.5378940000000005,4.7305470000000005,4.77073,4.650417,4.792706,5.153046,5.231758999999999,5.669291,6.07256,6.255293,6.2482,6.42218,6.6546389999999995,7.196347,7.643364,7.840408999999999,8.243036,8.493049000000001,9.156466,9.645717,9.803391,9.524792999999999,9.209631,9.889334,10.533091,10.96295,11.708216,13.038039,13.611279000000001,13.379334,13.027196,11.689581,10.996116,10.472522999999999,9.882253,8.7746,8.3784,7.5554,7.223292999999999
82-2802758,,,,,,,,,,,,0,0.538747,0.8940290000000001,1.397211,1.812539,2.200443,2.343381,2.558995,2.7861119999999997,2.962445,3.281454,3.3289169999999997,3.073985,3.4538330000000004,3.7404889999999997,4.099737,4.293641,4.488293,4.5254769999999995,4.407163,4.549452,4.908792,4.987506,5.424037,5.830306,6.012039,6.004946,6.1779269999999995,6.411386,6.953092999999999,7.39911,7.598155,7.998782,8.250796000000001,8.911213,9.402463000000001,9.559138,9.28254,8.967377,9.64708,10.288837,10.719696,11.462962,12.793786,13.365025,13.137081,12.783942,11.446327,10.752862,10.227269,9.636999000000001,8.531346000000001,8.133146,7.311146000000001,6.979039
83-2802714,,,,,,,,,,,,,0,0.356283,0.8584649999999999,1.273793,1.662697,1.8056349999999999,2.020248,2.247366,2.424698,2.7427080000000004,2.7901700000000003,2.535238,2.9150869999999998,3.202743,3.56199,3.754894,3.948546,3.98673,3.8684160000000003,4.011705,4.371045,4.449758999999999,4.88529,5.289559,5.473293,5.4662,5.6391800000000005,5.873639,6.413347,6.860363,7.059408,7.459036,7.711049000000001,8.374466,8.863716,9.022391,8.742792999999999,8.42863,9.108334,9.75009,10.17995,10.926216,12.255039,12.827278999999999,12.597334,12.245196,10.90858,10.213116000000001,9.690522,9.098253,7.992599,7.5953990000000005,6.7724,6.440293
