순번_정류장ID,81-2803661,82-2801697,83-2801724,84-2801915,85-2801926,86-2801922,87-2801940,88-2801950,89-2801961,90-2801987,91-2802006,92-2802016,93-2802028
81-2803661,0,0.624591,1.1667130000000001,2.4956570000000005,3.388529,3.768241,4.180617,4.483264,4.808967,5.042498,5.343097,5.583179,5.966649
82-2801697,,0,0.542122,1.8710660000000001,2.763938,3.14365,3.556026,3.858673,4.184376,4.4179070000000005,4.7185060000000005,4.958588000000001,5.342058000000001
83-2801724,,,0,1.3289440000000001,2.221816,2.601528,3.013904,3.316551,3.642254,3.875785,4.176384,4.416466,4.799936
84-2801915,,,,0,0.8928719999999999,1.272584,1.68496,1.9876070000000001,2.31331,2.546841,2.84744,3.0875220000000003,3.4709920000000003
85-2801926,,,,,0,0.379712,0.792088,1.094735,1.420438,1.653969,1.954568,2.19465,2.57812
86-2801922,,,,,,0,0.412376,0.715023,1.040726,1.274257,1.574856,1.8149380000000002,2.198408
87-2801940,,,,,,,0,0.302647,0.62835,0.8618809999999999,1.16248,1.402562,1.786032
88-2801950,,,,,,,,0,0.325703,0.559234,0.8598330000000001,1.0999150000000002,1.4833850000000002
89-2801961,,,,,,,,,0,0.233531,0.53413,0.774212,1.1576819999999999
90-2801987,,,,,,,,,,0,0.300599,0.540681,0.924151
91-2802006,,,,,,,,,,,0,0.24008200000000002,0.623552
92-2802016,,,,,,,,,,,,0,0.38347
93-2802028,,,,,,,,,,,,,0
