순번_정류장ID,1-2801647,2-2801520,3-2801387,4-2801317,5-2801115,6-2801070,7-2800837,8-2800983,9-2800835,10-2800843,11-2800943,12-2807495,13-2807489,14-2807492,15-2807529,16-2807537,17-2807540,18-2807523,19-2807538,20-2807562,21-2807513,22-2807519,23-2803390,24-2803570,25-2803568,26-2805046,27-2805648,28-2803394,29-2803396,30-2803397,31-2803400,32-2803403
12-2807495,,,,,,,,,,,,0,3.72551,7.713687,11.128431,12.558088000000001,13.705696000000001,15.098382,17.581074,19.038112,21.434007,23.192023000000002,24.025785000000003,24.853965000000002,26.101251,26.788377,27.645577,28.019483,28.533662,29.148948999999998,29.643997,30.532619
13-2807489,,,,,,,,,,,,,0,3.988177,7.402921,8.832578,9.980186,11.372872,13.855564,15.312601999999998,17.708496999999998,19.466513,20.300275,21.128455,22.375740999999998,23.062866999999997,23.920066999999996,24.293972999999998,24.808151999999996,25.423438999999995,25.918486999999995,26.807108999999997
14-2807492,,,,,,,,,,,,,,0,3.4147440000000002,4.844401,5.992009,7.384695000000001,9.867387,11.324425000000002,13.720320000000001,15.478336,16.312098,17.140278,18.387563999999998,19.074689999999997,19.931889999999996,20.305795999999997,20.819974999999996,21.435261999999994,21.930309999999995,22.818931999999997
15-2807529,,,,,,,,,,,,,,,0,1.429657,2.5772649999999997,3.969951,6.452643,7.909681,10.305576,12.063592,12.897354,13.725534,14.97282,15.659946,16.517146,16.891052000000002,17.405231,18.020518,18.515566,19.404188
16-2807537,,,,,,,,,,,,,,,,0,1.147608,2.5402940000000003,5.0229859999999995,6.480023999999999,8.875919,10.633935,11.467697,12.295876999999999,13.543163,14.230288999999999,15.087489,15.461395,15.975574,16.590861,17.085909,17.974531000000002
17-2807540,,,,,,,,,,,,,,,,,0,1.392686,3.8753779999999995,5.332415999999999,7.728311,9.486327,10.320089,11.148268999999999,12.395555,13.082681,13.939881,14.313787,14.827966,15.443253,15.938301000000001,16.826923
18-2807523,,,,,,,,,,,,,,,,,,0,2.4826919999999997,3.9397299999999995,6.335624999999999,8.093641,8.927403,9.755583,11.002869,11.689995,12.547195,12.921101,13.43528,14.050567000000001,14.545615000000002,15.434237000000001
19-2807538,,,,,,,,,,,,,,,,,,,0,1.4570379999999998,3.8529329999999997,5.610949,6.444711,7.2728909999999996,8.520177,9.207303,10.064503,10.438409,10.952588,11.567875,12.062923000000001,12.951545000000001
20-2807562,,,,,,,,,,,,,,,,,,,,0,2.395895,4.153911,4.987673,5.815853,7.063139,7.750265,8.607465,8.981371,9.49555,10.110837,10.605885,11.494507
21-2807513,,,,,,,,,,,,,,,,,,,,,0,1.758016,2.591778,3.4199580000000003,4.667244,5.35437,6.21157,6.585476,7.099655,7.714942000000001,8.209990000000001,9.098612000000001
22-2807519,,,,,,,,,,,,,,,,,,,,,,0,0.8337620000000001,1.661942,2.909228,3.5963540000000003,4.4535540000000005,4.82746,5.341639000000001,5.956926000000001,6.451974000000001,7.340596000000001
23-2803390,,,,,,,,,,,,,,,,,,,,,,,0,0.8281799999999999,2.075466,2.762592,3.6197920000000003,3.993698,4.507877000000001,5.123164000000001,5.618212000000001,6.5068340000000005
24-2803570,,,,,,,,,,,,,,,,,,,,,,,,0,1.2472860000000001,1.934412,2.7916119999999998,3.1655179999999996,3.6796969999999996,4.2949839999999995,4.790031999999999,5.678653999999999
25-2803568,,,,,,,,,,,,,,,,,,,,,,,,,0,0.687126,1.5443259999999999,1.918232,2.432411,3.047698,3.542746,4.431368
26-2805046,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.8572,1.231106,1.745285,2.360572,2.85562,3.744242
27-2805648,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.373906,0.888085,1.5033720000000002,1.99842,2.887042
28-2803394,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.5141789999999999,1.1294659999999999,1.6245139999999998,2.513136
29-2803396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.615287,1.110335,1.9989569999999999
30-2803397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.49504799999999993,1.38367
31-2803400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.8886219999999999
32-2803403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
