순번_정류장ID,45-2803874,46-2803973,47-2803975,48-2805718,49-2803979,50-2806018,51-2804334,52-2803983,53-2803985,54-2803987,55-2803989,56-2806004,57-2807385,58-2803991,59-2803993,60-2803995,61-2800298,62-2803997,63-2800290,64-2800289,65-2803934,66-2806662,67-2800286,68-2803932,69-2803596,70-2800283,71-2800281,72-2800280,73-2800278,74-2806663,75-2804031,76-2800260,77-2800275,78-2804713,79-2803598,80-2803600,81-2800273,82-2803601,83-2804331,84-2803581,85-2800271,86-2805489,87-2807150,88-2804581,89-2804582,90-2800267,91-2804032
55-2803989,,,,,,,,,,,0,0.218085,0.400647,0.8159949999999999,1.129794,1.267893,2.48454,3.0240679999999998,3.390259,3.847064,4.209073,5.1540490000000005,6.040211000000001,6.3264710000000015,7.317938000000002,7.762367000000002,8.471807000000002,9.044026000000002,9.180960000000002,10.121786000000002,10.763103000000003,10.995831000000003,11.321510000000002,11.499654000000001,12.010790000000002,12.453719000000001,12.656328000000002,12.837944000000002,13.092264000000002,13.573596000000002,14.080526000000003,14.444775000000002,14.785710000000002,15.086963,15.447151000000002,16.085876000000003,16.281974
56-2806004,,,,,,,,,,,,0,0.182562,0.5979099999999999,0.9117089999999999,1.0498079999999999,2.2664549999999997,2.8059829999999994,3.1721739999999996,3.6289789999999997,3.9909879999999998,4.935964,5.822126000000001,6.108386000000001,7.099853000000001,7.544282000000002,8.253722000000002,8.825941000000002,8.962875000000002,9.903701000000002,10.545018000000002,10.777746000000002,11.103425000000001,11.281569000000001,11.792705000000002,12.235634000000001,12.438243000000002,12.619859000000002,12.874179000000002,13.355511000000002,13.862441000000002,14.226690000000001,14.567625000000001,14.868878000000002,15.229066000000003,15.867791000000004,16.063889000000003
57-2807385,,,,,,,,,,,,,0,0.41534799999999994,0.729147,0.867246,2.0838929999999998,2.6234209999999996,2.9896119999999997,3.446417,3.808426,4.7534019999999995,5.639564,5.925824,6.9172910000000005,7.361720000000001,8.07116,8.643379000000001,8.780313000000001,9.721139,10.362456000000002,10.595184000000001,10.920863,11.099007,11.610143,12.053072,12.255681000000001,12.437297000000001,12.691617,13.172949000000001,13.679879000000001,14.044128,14.385063,14.686316000000001,15.046504000000002,15.685229000000003,15.881327000000002
58-2803991,,,,,,,,,,,,,,0,0.313799,0.451898,1.668545,2.2080729999999997,2.574264,3.031069,3.393078,4.338054,5.224216,5.510476000000001,6.501943000000001,6.946372000000001,7.655812000000001,8.228031000000001,8.364965000000002,9.305791000000001,9.947108000000002,10.179836000000002,10.505515,10.683659,11.194795000000001,11.637724,11.840333000000001,12.021949000000001,12.276269000000001,12.757601000000001,13.264531000000002,13.62878,13.969715,14.270968,14.631156,15.269881000000002,15.465979
59-2803993,,,,,,,,,,,,,,,0,0.138099,1.354746,1.894274,2.260465,2.71727,3.079279,4.024255,4.910417000000001,5.196677000000001,6.188144000000001,6.632573000000002,7.3420130000000015,7.914232000000001,8.051166,8.991992,9.633309,9.866037,10.191716,10.36986,10.880996,11.323925,11.526534,11.70815,11.96247,12.443802,12.950732,13.314981,13.655916,13.957169,14.317357000000001,14.956082000000002,15.152180000000001
60-2803995,,,,,,,,,,,,,,,,0,1.216647,1.756175,2.122366,2.579171,2.94118,3.886156,4.772318,5.058578000000001,6.050045000000001,6.494474000000001,7.203914000000001,7.776133000000001,7.913067000000001,8.853893000000001,9.495210000000002,9.727938000000002,10.053617000000001,10.231761,10.742897000000001,11.185826,11.388435000000001,11.570051000000001,11.824371000000001,12.305703000000001,12.812633000000002,13.176882,13.517817,13.81907,14.179258,14.817983000000002,15.014081000000001
61-2800298,,,,,,,,,,,,,,,,,0,0.539528,0.9057189999999999,1.362524,1.724533,2.669509,3.5556710000000002,3.841931,4.833398,5.277827,5.987267,6.559486,6.69642,7.637246,8.278563,8.511291,8.836969999999999,9.015113999999999,9.52625,9.969178999999999,10.171788,10.353404,10.607724,11.089056,11.595986,11.960234999999999,12.301169999999999,12.602422999999998,12.962610999999999,13.601336,13.797433999999999
62-2803997,,,,,,,,,,,,,,,,,,0,0.366191,0.8229960000000001,1.185005,2.129981,3.016143,3.302403,4.29387,4.7382990000000005,5.447739,6.019958,6.156892,7.097718,7.739035,7.971763,8.297442,8.475586,8.986722,9.429651,9.63226,9.813876,10.068196,10.549528,11.056458000000001,11.420707,11.761642,12.062895000000001,12.423083000000002,13.061808000000003,13.257906000000002
63-2800290,,,,,,,,,,,,,,,,,,,0,0.456805,0.818814,1.7637900000000002,2.6499520000000003,2.9362120000000003,3.9276790000000004,4.372108000000001,5.081548000000001,5.653767,5.790701,6.731527000000001,7.372844000000001,7.605572,7.9312510000000005,8.109395000000001,8.620531000000001,9.063460000000001,9.266069000000002,9.447685000000002,9.702005000000002,10.183337000000002,10.690267000000002,11.054516000000001,11.395451000000001,11.696704,12.056892000000001,12.695617000000002,12.891715000000001
64-2800289,,,,,,,,,,,,,,,,,,,,0,0.362009,1.306985,2.193147,2.479407,3.4708740000000002,3.915303,4.6247430000000005,5.196962,5.333896,6.274722000000001,6.9160390000000005,7.148767,7.474446,7.65259,8.163726,8.606655,8.809264,8.99088,9.2452,9.726532,10.233462000000001,10.597711,10.938646,11.239899000000001,11.600087000000002,12.238812000000003,12.434910000000002
65-2803934,,,,,,,,,,,,,,,,,,,,,0,0.944976,1.8311380000000002,2.117398,3.108865,3.553294,4.262734,4.834953,4.971887,5.912713,6.55403,6.786758,7.112437,7.2905809999999995,7.801716999999999,8.244646,8.447255,8.628871,8.883191,9.364523,9.871453,10.235702,10.576637,10.87789,11.238078000000002,11.876803000000002,12.072901000000002
66-2806662,,,,,,,,,,,,,,,,,,,,,,0,0.8861620000000001,1.172422,2.163889,2.608318,3.317758,3.889977,4.026911,4.9677370000000005,5.609054,5.841782,6.167461,6.345605,6.8567409999999995,7.29967,7.502279,7.683895,7.938215,8.419547,8.926477,9.290726,9.631661,9.932914,10.293102000000001,10.931827000000002,11.127925000000001
67-2800286,,,,,,,,,,,,,,,,,,,,,,,0,0.28626,1.277727,1.722156,2.431596,3.003815,3.140749,4.081575,4.722892,4.95562,5.281299,5.459442999999999,5.970578999999999,6.413507999999999,6.616116999999999,6.797732999999999,7.052052999999999,7.533384999999999,8.040315,8.404563999999999,8.745498999999999,9.046751999999998,9.406939999999999,10.045665,10.241762999999999
68-2803932,,,,,,,,,,,,,,,,,,,,,,,,0,0.991467,1.435896,2.145336,2.717555,2.854489,3.795315,4.436632,4.66936,4.995039,5.173183,5.6843189999999995,6.127248,6.329857,6.511473,6.7657929999999995,7.247125,7.754054999999999,8.118303999999998,8.459238999999998,8.760492,9.12068,9.759405000000001,9.955503
69-2803596,,,,,,,,,,,,,,,,,,,,,,,,,0,0.444429,1.153869,1.7260879999999998,1.863022,2.803848,3.445165,3.6778929999999996,4.003571999999999,4.181715999999999,4.6928519999999985,5.135780999999999,5.338389999999999,5.520005999999999,5.7743259999999985,6.255657999999999,6.762587999999998,7.126836999999998,7.467771999999998,7.769024999999998,8.129212999999998,8.767937999999997,8.964035999999997
70-2800283,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.70944,1.2816589999999999,1.418593,2.359419,3.000736,3.2334639999999997,3.5591429999999997,3.737287,4.248423,4.691352,4.893961,5.075577,5.329897,5.811229,6.318159,6.682408,7.023343,7.324596,7.684784,8.323509,8.519606999999999
71-2800281,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.5722189999999999,0.7091529999999999,1.649979,2.291296,2.524024,2.849703,3.027847,3.538983,3.981912,4.184521,4.366137,4.620457,5.101789,5.608719,5.972968,6.313903,6.615156,6.975344,7.614069,7.810167
72-2800280,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.136934,1.07776,1.719077,1.951805,2.277484,2.455628,2.966764,3.409693,3.6123019999999997,3.7939179999999997,4.048238,4.52957,5.036499999999999,5.400748999999999,5.741683999999999,6.042936999999999,6.403124999999999,7.041849999999999,7.237947999999999
73-2800278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.940826,1.582143,1.8148710000000001,2.14055,2.3186940000000003,2.8298300000000003,3.272759,3.475368,3.656984,3.911304,4.3926359999999995,4.899565999999999,5.263814999999999,5.604749999999999,5.906002999999999,6.266190999999999,6.904915999999999,7.101013999999999
74-2806663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.641317,0.8740450000000001,1.199724,1.377868,1.889004,2.331933,2.5345419999999996,2.7161579999999996,2.9704779999999995,3.4518099999999996,3.9587399999999997,4.322989,4.663924,4.965177,5.325365,5.96409,6.160188
75-2804031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.23272800000000002,0.558407,0.736551,1.247687,1.690616,1.893225,2.074841,2.329161,2.810493,3.3174230000000002,3.6816720000000003,4.022607000000001,4.323860000000001,4.684048000000001,5.322773000000001,5.518871000000001
76-2800260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.325679,0.503823,1.014959,1.457888,1.6604970000000001,1.8421130000000001,2.096433,2.5777650000000003,3.0846950000000004,3.4489440000000005,3.7898790000000004,4.091132,4.45132,5.090045,5.286143
77-2800275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.178144,0.6892799999999999,1.132209,1.334818,1.516434,1.7707540000000002,2.2520860000000003,2.7590160000000004,3.1232650000000004,3.4642000000000004,3.7654530000000004,4.125641000000001,4.764366000000001,4.960464000000001
78-2804713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.5111359999999999,0.9540649999999999,1.156674,1.33829,1.59261,2.073942,2.5808720000000003,2.9451210000000003,3.2860560000000003,3.5873090000000003,3.9474970000000003,4.586222,4.78232
79-2803598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.442929,0.645538,0.827154,1.081474,1.5628060000000001,2.0697360000000002,2.4339850000000003,2.7749200000000003,3.0761730000000003,3.436361,4.075086000000001,4.271184000000001
80-2803600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.20260899999999998,0.384225,0.6385449999999999,1.1198769999999998,1.626807,1.991056,2.331991,2.633244,2.993432,3.632157,3.828255
81-2800273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.181616,0.435936,0.917268,1.424198,1.7884470000000001,2.129382,2.430635,2.790823,3.429548,3.625646
82-2803601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.25432,0.735652,1.242582,1.6068310000000001,1.947766,2.249019,2.609207,3.247932,3.44403
83-2804331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.481332,0.988262,1.352511,1.693446,1.994699,2.354887,2.993612,3.1897100000000003
84-2803581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.50693,0.8711789999999999,1.212114,1.513367,1.8735549999999999,2.5122799999999996,2.7083779999999997
85-2800271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.364249,0.705184,1.006437,1.366625,2.00535,2.201448
86-2805489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.340935,0.642188,1.002376,1.641101,1.837199
87-2807150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.301253,0.661441,1.300166,1.496264
88-2804581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.360188,0.9989129999999999,1.195011
89-2804582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.638725,0.834823
90-2800267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.196098
91-2804032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
