순번_정류장ID,1-2802855,2-2806505,3-2806513,4-2806524,5-2806522,6-2805659,7-2803386,8-2807643,9-2803399,10-2803395,11-2807644,12-2807645
1-2802855,0,1.599401,4.522243,5.306106,5.976578,6.679561,47.043909,47.478491,47.879776,48.469609,49.884066,50.313953
2-2806505,,0,2.9228419999999997,3.7067049999999995,4.377177,5.080159999999999,45.444508,45.87909,46.280375,46.870208,48.284665,48.714552
3-2806513,,,0,0.783863,1.454335,2.157318,42.521665999999996,42.956247999999995,43.357533,43.947365999999995,45.361822999999994,45.791709999999995
4-2806524,,,,0,0.6704720000000001,1.373455,41.737803,42.172385,42.57367,43.163503,44.57796,45.007847
5-2806522,,,,,0,0.702983,41.067331,41.501913,41.903198,42.493031,43.907488,44.337375
6-2805659,,,,,,0,40.364348,40.79893,41.200215,41.790048,43.204505,43.634392
7-2803386,,,,,,,0,0.43458199999999997,0.8358669999999999,1.4257,2.840157,3.270044
8-2807643,,,,,,,,0,0.401285,0.9911179999999999,2.405575,2.8354619999999997
9-2803399,,,,,,,,,0,0.5898329999999999,2.00429,2.434177
10-2803395,,,,,,,,,,0,1.414457,1.844344
11-2807644,,,,,,,,,,,0,0.42988699999999996
12-2807645,,,,,,,,,,,,0
