순번_정류장ID,20-2801777,21-2801772,22-2800801,23-2800795,24-2800791,25-2800789,26-2800780,27-2800771,28-2800764,29-2800750,30-2800742,31-2800734,32-2800731,33-2800728
20-2801777,0,0.25344099999999997,0.838697,1.299915,1.503301,1.694332,2.042355,2.344945,2.531375,2.816322,3.032822,3.2505159999999997,3.4038769999999996,3.572913
21-2801772,,0,0.585256,1.046474,1.24986,1.440891,1.788914,2.091504,2.277934,2.562881,2.779381,2.9970749999999997,3.1504359999999996,3.3194719999999998
22-2800801,,,0,0.461218,0.664604,0.8556349999999999,1.203658,1.5062479999999998,1.692678,1.977625,2.194125,2.411819,2.56518,2.734216
23-2800795,,,,0,0.20338599999999998,0.394417,0.74244,1.0450300000000001,1.2314600000000002,1.5164070000000003,1.7329070000000002,1.9506010000000003,2.103962,2.2729980000000003
24-2800791,,,,,0,0.191031,0.539054,0.8416440000000001,1.0280740000000002,1.3130210000000002,1.5295210000000001,1.7472150000000002,1.9005760000000003,2.0696120000000002
25-2800789,,,,,,0,0.348023,0.6506130000000001,0.8370430000000001,1.12199,1.33849,1.556184,1.709545,1.878581
26-2800780,,,,,,,0,0.30259,0.48902,0.7739670000000001,0.9904670000000001,1.208161,1.3615220000000001,1.530558
27-2800771,,,,,,,,0,0.18642999999999998,0.471377,0.687877,0.9055709999999999,1.058932,1.227968
28-2800764,,,,,,,,,0,0.284947,0.501447,0.719141,0.872502,1.041538
29-2800750,,,,,,,,,,0,0.2165,0.43419399999999997,0.5875549999999999,0.7565909999999999
30-2800742,,,,,,,,,,,0,0.217694,0.371055,0.540091
31-2800734,,,,,,,,,,,,0,0.153361,0.322397
32-2800731,,,,,,,,,,,,,0,0.169036
33-2800728,,,,,,,,,,,,,,0
